id_subkriteria,id_kriteria,kategori,bobot,createdAt,updatedAt,nilai_min,nilai_max,min_operator,max_operator
39,73,<= 2,1,2026-01-14 23:26:28.196387+00,2026-02-09 19:44:10.039242+00,,2,,<=
40,73,4-Mar,2,2026-01-14 23:26:28.196387+00,2026-02-09 19:44:10.039242+00,3,4,>=,<=
41,73,6-May,3,2026-01-14 23:26:28.196387+00,2026-02-09 19:44:10.039242+00,5,6,>=,<=
42,73,8-Jul,4,2026-01-14 23:26:28.196387+00,2026-02-09 19:44:10.039242+00,7,8,>=,<=
43,73,>= 9,5,2026-01-14 23:26:28.196387+00,2026-02-09 19:44:10.039242+00,9,,>=,
45,74,7 m - 9 m,2,2026-01-14 23:30:03.300893+00,2026-02-09 19:38:49.689852+00,7,9,>=,<=
46,74,10 m -12 m,3,2026-01-14 23:30:03.300893+00,2026-02-09 19:38:49.689852+00,10,12,>=,<=
47,74,13 m -16 m,4,2026-01-14 23:30:03.300893+00,2026-02-09 19:38:49.689852+00,13,16,>=,<=
48,74,>= 17 m,5,2026-01-14 23:30:03.300893+00,2026-02-09 19:38:49.689852+00,17,,>=,
55,62,Penjaga sama CCTV,2,2026-01-14 23:33:10.556916+00,2026-02-10 08:48:16.386523+00,,,,
56,63,21:00,1,2026-01-14 23:34:52.306292+00,2026-02-09 22:13:37.129285+00,,,,
57,63,22:00,2,2026-01-14 23:34:52.306292+00,2026-02-09 22:13:37.129285+00,,,,
58,63,23:00,3,2026-01-14 23:34:52.306292+00,2026-02-09 22:13:37.129285+00,,,,
59,63,beri kunci pagar,5,2026-01-14 23:34:52.306292+00,2026-02-09 22:13:37.129285+00,,,,
60,75,umum,1,2026-01-14 23:35:39.137488+00,2026-02-10 12:55:55.464471+00,,,,
62,65,perbulan,1,2026-01-14 23:36:41.755589+00,2026-02-09 22:13:23.849741+00,,,,
63,65,token,2,2026-01-14 23:36:41.755589+00,2026-02-09 22:13:23.849741+00,,,,
64,66,meteran,2,2026-01-14 23:37:25.705809+00,2026-02-09 22:13:12.313579+00,,,,
65,66,pembayaran awal,3,2026-01-14 23:37:25.705809+00,2026-02-09 22:13:12.313579+00,,,,
71,78,<= 900000,1,2026-01-18 04:59:21.996202+00,2026-02-09 19:34:57.059981+00,,900000,,<=
72,78,>= 901000-1300000,2,2026-01-18 04:59:21.996202+00,2026-02-09 19:34:57.059981+00,901000,1300000,>=,<=
73,78,>= 1301000-1600000,3,2026-01-19 01:14:21.812858+00,2026-02-09 19:34:57.059981+00,1301000,1600000,>=,<=
74,78,>= 1601000-2000000,4,2026-01-19 01:16:09.699382+00,2026-02-09 19:34:57.059981+00,1601000,2000000,>=,<=
76,81,> 3 km,1,2026-01-20 01:28:25.663661+00,2026-02-11 20:40:42.28396+00,3,,>,
77,81,> 2 km - <=3 km,2,2026-01-20 01:28:25.663661+00,2026-02-11 20:40:42.28396+00,2,3,>,<=
78,81,> 1 km - <= 2 km,3,2026-01-20 01:28:25.663661+00,2026-02-11 20:40:42.28396+00,1,2,>,<=
80,81,<= 1 km,4,2026-01-20 01:28:25.663661+00,2026-02-11 20:40:42.28396+00,,1,,<
84,62,Penjaga,1,2026-01-24 01:57:05.039532+00,2026-02-10 08:48:16.386523+00,,,,
89,74,<= 6 m,1,2026-02-03 05:32:36.780351+00,2026-02-09 19:38:49.689852+00,,6,,<=
91,66,perbulan,1,2026-02-03 13:40:44.768013+00,2026-02-09 22:13:12.313579+00,,,,
92,63,24:00:00,4,2026-02-04 06:28:50.130065+00,2026-02-09 22:13:37.129285+00,,,,
93,65,Pembayaran awal,3,2026-02-04 06:34:07.538542+00,2026-02-09 22:13:23.849741+00,,,,
94,75,khusus,2,2026-02-05 04:32:03.765975+00,2026-02-10 12:55:55.464471+00,,,,
97,78,>2000000,5,2026-02-05 08:53:16.389111+00,2026-02-09 19:34:57.059981+00,2000000,,>,
